Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
2018/10/15,161892000,0.522,1769800,929248,1.0932,0.5221,0.5596,0.5472,-0.0185,-9.0988,22.7304,FALSE,TRUE,-49.2861,178
2018/10/16,161892000,0.51,1504300,776007,0.9292,0.5104,0.5522,0.534,-0.0214,-10.119,20.138,FALSE,TRUE,-50.4225,178
2018/10/17,161892000,0.515,1418800,726416,0.8764,0.5142,0.5457,0.522,-0.0231,-8.0904,20.2215,FALSE,TRUE,-50.0534,178
2018/10/18,161892000,0.504,3295300,1653651,2.0355,0.4973,0.5383,0.5162,-0.025,-8.7645,16.9174,FALSE,FALSE,-51.695,178
2018/10/19,164312700,0.508,3127000,1560101,1.9031,0.5083,0.5342,0.5118,-0.0259,-6.7605,18.081,FALSE,TRUE,-50.6265,178
2018/10/22,170892000,0.536,11702400,6104013,6.8478,0.5335,0.5345,0.5146,-0.0241,-0.7714,28.3805,FALSE,TRUE,-48.1787,178
2018/10/23,164892000,0.525,9690300,5125689,5.8768,0.5246,0.5342,0.5176,-0.0233,-1.7161,31.5054,FALSE,TRUE,-49.0432,178
2018/10/24,164892000,0.524,2993700,1570114,1.8156,0.5245,0.5343,0.5194,-0.0224,-1.101,33.2485,FALSE,FALSE,-49.0529,178
2018/10/25,164892000,0.52,1393200,712389,0.8449,0.5206,0.5313,0.5226,-0.0218,-0.9838,43.499,FALSE,FALSE,-49.4318,178
2018/10/26,164892000,0.521,3873400,2019861,2.3491,0.5206,0.5298,0.5252,-0.021,0.064,50.9993,FALSE,FALSE,-49.4318,178
2018/9/26,65747300,1.462,837100,1222884,1.2732,1.464,1.4414,1.4334,-0.0273,2.6205,65.6102,FALSE,FALSE,-24.3411,179
2018/9/27,65747300,1.473,3839900,5649012,5.8404,1.472,1.4475,1.445,-0.0225,3.314,72.9391,FALSE,FALSE,-23.9276,179
2018/9/28,65747300,1.486,174600,258560,0.2656,1.489,1.4542,1.461,-0.0173,4.092,81.1842,FALSE,FALSE,-23.0491,179
